name;latitude;longitude
Albania;41,063919;20,091907
Bułgaria;42,987084;26,960965
Albena;43,367533;28,078092
Burgas;42,507149;27,462437
Nessebar;42,660206;27,717772
Primorsko;42,268033;27,754568
Słoneczny Brzeg;42,692969;27,709887
Sozopol;42,416736;27,69619
Sveti Vlas;42,712089;27,757127
Warna;43,233363;27,824806
Złote Piaski;43,28882;28,043553
Chorwacja;45,116962;15,408691
Dubrownik;42,649829;18,09689
Orebic;42,977123;17,177845
Kasztelańska Riwiera;43,562024;16,47514
Korcula;42,933992;16,86316
Peljesac;42,87713;17,531177
Makarska Riwiera;43,299987;17,030293
Neum;42,922048;17,617758
Hvar;43,147595;16,662011
Dalmacja Płd.;45,107009;14,949414
Dalmacja śr. I Płn.;43,451464;16,839062
Cypr;34,891224;32,973415
Larnaka;34,914735;33,62384
Pafos/Paphos;34,77051;32,423925
Cypr Północny;35,226213;33,970424
Czarnogóra;42,742574;19,107387
Dominikana;18,786107;-69,54495
Egipt;26,066;34,139
Półwysep Synaj;28,484841;34,237245
Riviera Morza Czerwonego;26,066877;34,139864
Hurgada;27,176013;33,801623
Marsa Alam;25,066429;34,896677
Sharm El Sheikh;27,924164;34,317215
Taba;29,491933;34,894688
Lazurowe Wybrzeże;43,181862;6,448863
Aleksandropolis;40,851363;25,873958
Preveza;38,959322;20,750491
Ateny;37,984519;23,724828
Attyka;38,057565;23,69162
Chalkidiki;40,363589;23,538201
Saloniki;40,623011;22,958901
Peloponez;37,493351;22,296272
Riwiera Olimpu (Olimpijska);40,254209;22,553563
Kokkino Nero;39,831992;22,789282
Riwiera Olimpijska;40,093608;22,502739
Karpatos (Karphatos);35,579718;27,145667
Samos;37,743263;26,815681
Thassos;40,700374;24,659019
Kos;36,828463;27,132706
Kreta;35,244949;24,582237
Chania;35,538093;24,141383
Heraklion;35,339595;25,175069
Lesbos;39,229205;26,276965
Limnos (Lemnos);39,931013;25,168241
Mykonos;37,433616;25,348431
Rodos;36,170435;27,964825
Santorini;36,395152;25,46315
Ios;36,728179;25,32147
Skiathos;39,172182;23,474735
Skopelos;39,172182;23,474735
Evia (Eubea);38,639726;23,681312
Itaka;38,416412;20,67501
Kefalonia;38,222415;20,572973
Korfu;39,60769;19,840009
Lefkada;38,714068;20,647341
Zakyntos;37,788263;20,772263
Gruzja;42,078657;43,236779
Formentera;38,697046;1,445193
Ibiza;39,006678;1,467183
Majorka;39,616143;2,908219
Palma de Mallorka;39,553302;2,729924
Minorka;39,952153;4,101514
Malaga;36,681726;-4,498347
Costa Almeria;36,879985;-2,455743
Costa Blanca;38,382409;-0,484269
Costa Brava;41,771128;2,990277
Barcelona;41,298653;2,088343
Costa Calida;37,653918;-0,806856
Costa De La Luz;36,502556;-6,152496
Costa Del Sol;36,68924;-4,545082
Costa Dorada;41,198946;1,509788
Fuerteventura;28,396404;-14,04199
Costa Calma;28,158378;-14,22962
Jandia;28,100474;-14,27884
Puerto del Rosario;28,499022;-13,86143
Gran Canaria;27,965245;-15,58861
Lanzarote;29,044883;-13,59856
Teneryfa;28,287787;-16,6209
Costa Adeje;28,077625;-16,73051
Playa de Las Americas;28,058298;-16,7247
Santa Cruz de Tenerife;28,462876;-16,25792
Gomera;28,112167;-17,201732
Tel Awiw;32,109984;34,781453
Malta;35,916247;14,404655
Maroko;32,333505;-6,876261
Agadir;30,414171;-9,57461
Essaouira;31,512297;-9,762855
Marrakesz;31,636814;-8,022788
Saidia;35,089756;-2,255559
Portugalia;39,920063;-8,102676
Algarve;37,225193;-8,215973
Faro;37,016434;-7,965646
Azory;37,798489;-25,68111
Madera;32,762435;-17,08041
Funchal;32,695006;-16,77739
Riwiera Lizbońska;38,733986;-9,186296
Costa da Caparica;38,630757;-9,226331
Tunezja;34,420819;9,330052
Djerba;33,797725;10,854405
Enfidha-Hammamet;36,068874;10,431304
Hammamet;36,404825;10,615647
Mahdia;35,504261;11,057443
Monastir;35,771892;10,827029
Nabeul;36,454225;10,739458
Port El Kantaoui;35,893765;10,596646
Sousse;35,828162;10,635622
Riwiera Turecka;36,973262;31,109651
Alanya;36,549526;31,997288
Antalya;36,900546;30,7042
Belek;36,863096;31,057548
Kemer;36,598638;30,550665
Side;36,780479;31,400024
Turcja Marmaris;36,87981;28,231748
Ayvalik;39,320026;26,692083
Bodrum;37,035345;27,430412
Cesme;38,326968;26,314561
Dalaman;36,717984;28,793017
Didyma;37,383914;27,255477
Fethiye;36,641362;29,122787
Izmir;36,717984;28,793017
Kusadasi;37,85455;27,251801
Marmaris;36,850729;28,26166
Oludeniz;36,573979;29,145446
Wybrzeże Egejskie (Turcja Egejska);37,685231;27,544587
Krym;45,120119;33,467119
Apulia;40,55669;17,532093
Kalabria;38,360066;16,081897
Sardynia;40,201003;9,0891
Sycylia;37,61107;14,247181
Kampania;40,826748;14,360709
Włochy;42,300646;13,10956
Zjednoczone Emiraty Arabskie;23,756171;54,343389
