name,latitude,longitude
Tirana,41.3275,19.8187
Andorra la Vella,42.5063,1.5218
Yerevan,40.1792,44.4991
Vienna,48.2082,16.3738
Minsk,53.9006,27.5590
Brussels,50.8503,4.3517
Sarajevo,43.8563,18.4131
Sofia,42.6977,23.3219
Zagreb,45.8150,15.9819
Nicosia,35.1856,33.3823
Prague,50.0755,14.4378
Copenhagen,55.6761,12.5683
Tallinn,59.4370,24.7536
Helsinki,60.1699,24.9384
Paris,48.8566,2.3522
Tbilisi,41.7151,44.8271
Berlin,52.5200,13.4050
Athens,37.9838,23.7275
Budapest,47.4979,19.0402
Reykjavík,64.1466,-21.9426
Dublin,53.3498,-6.2603
Rome,41.9028,12.4964
Pristina,42.6629,21.1655
Riga,56.9496,24.1052
Vaduz,47.1410,9.5209
Vilnius,54.6872,25.2797
Luxembourg,49.6116,6.1319
Valletta,35.8989,14.5146
Chișinău,47.0105,28.8638
Monaco,43.7384,7.4246
Podgorica,42.4304,19.2594
Amsterdam,52.3676,4.9041
Skopje,41.9981,21.4254
Oslo,59.9139,10.7522
Warsaw,52.2297,21.0122
Lisbon,38.7223,-9.1393
Bucharest,44.4268,26.1025
Moscow,55.7558,37.6173
San Marino,43.9424,12.4578
Belgrade,44.7866,20.4489
Bratislava,48.1486,17.1077
Ljubljana,46.0569,14.5058
Madrid,40.4168,-3.7038
Stockholm,59.3293,18.0686
Bern,46.9480,7.4474
Kyiv,50.4501,30.5234
London,51.5074,-0.1278
Vatican City,41.9029,12.4534
