name,latitude,longitude
Babiogórski Park Narodowy,49.5800,19.5300
Białowieski Park Narodowy,52.7500,23.8700
Biebrzański Park Narodowy,53.6000,22.7000
Bieszczadzki Park Narodowy,49.1200,22.6000
Park Narodowy "Bory Tucholskie",53.8200,17.5500
Drawieński Park Narodowy,53.1200,15.8000
Gorczański Park Narodowy,49.5500,20.1000
Park Narodowy Gór Stołowych,50.4800,16.3300
Kampinoski Park Narodowy,52.3300,20.6500
Karkonoski Park Narodowy,50.7800,15.6000
Magurski Park Narodowy,49.5000,21.4500
Narwiański Park Narodowy,53.0500,22.8000
Ojcowski Park Narodowy,50.2100,19.8300
Pieniński Park Narodowy,49.4200,20.4000
Poleski Park Narodowy,51.4200,23.1700
Roztoczański Park Narodowy,50.6200,23.0500
Słowiński Park Narodowy,54.7000,17.4000
Świętokrzyski Park Narodowy,50.8800,20.9000
Tatrzański Park Narodowy,49.2300,19.9800
Park Narodowy "Ujście Warty",52.5800,14.7500
Wielkopolski Park Narodowy,52.2700,16.8200
Wigierski Park Narodowy,54.0500,23.0800
Woliński Park Narodowy,53.9500,14.4500
