name,latitude,longitude
Bratysława - Stolica i największe miasto,48.1486,17.1077
Koszyce - Drugie największe miasto,48.7164,21.2611
Tatry Wysokie - Najwyższe pasmo górskie (Gerlach),49.1633,20.1333
Zamek Spiski i okolice - Obiekt z listy UNESCO,48.9994,20.7675
Bańska Szczawnica - Obiekt z listy UNESCO,48.4585,18.8931
Wilkoliniec (Vlkolínec) - Obiekt z listy UNESCO,49.0381,19.2783
Bardejów - Obiekt z listy UNESCO,49.2935,21.2754
Słowacki Raj - Pasmo górskie i park narodowy,48.9167,20.4167
Niskie Tatry - Pasmo górskie (Dziumbier),48.9333,19.6500
Jaskinie Krasu Słowackiego - Obiekt z listy UNESCO,48.4772,20.4686
Lewocza - Obiekt z listy UNESCO,49.0258,20.5894
Zamek Orawski - Atrakcja historyczna / Zamek,49.2619,19.3586
Pieszczany (Piešťany) - Uzdrowisko / Miasto,48.5911,17.8389
Trenczyn (Trenčín) - Zabytkowe miasto i zamek,48.8944,18.0444
Drewniane cerkwie w Karpatach (Hervartov) - Obiekt z listy UNESCO,49.2472,21.2039
Budapeszt - Stolica oraz największe miasto i UNESCO,47.4979,19.0402
Debreczyn - Drugie największe miasto,47.5316,21.6273
Segedyn (Szeged) - Trzecie największe miasto,46.2530,20.1414
Miszkolc - Duże miasto i termy w jaskiniach (Miskolctapolca),48.1035,20.7784
Pecz (Pécs) - Wczesnochrześcijański cmentarz - UNESCO,46.0727,18.2323
Jezioro Balaton - Największe jezioro i region turystyczny,46.8500,17.7333
Mátra - Najwyższe pasmo górskie (Kékes),47.8722,19.9556
Park Narodowy Hortobágy - Obiekt z listy UNESCO (Puszta),47.5819,21.1472
Region winiarski Tokaj - Obiekt z listy UNESCO,48.1164,21.4106
Hollókő - Tradycyjna wieś - Obiekt z listy UNESCO,47.9989,19.5286
Opactwo Pannonhalma - Obiekt z listy UNESCO,47.5528,17.7611
Jezioro Hévíz - Największe termalne jezioro Europy,46.7889,17.1922
Eger - Historyczne miasto i zamek,47.9025,20.3772
Zakole Dunaju (Wyszegrad) - Atrakcja krajobrazowo-historyczna,47.7853,18.9772
Jaskinie Aggtelek - Obiekt z listy UNESCO,48.4711,20.4914
Praga - Stolica oraz największe miasto i UNESCO,50.0755,14.4378
Brno - Drugie największe miasto i UNESCO (Willa Tugendhatów),49.1951,16.6068
Ostrawa - Trzecie największe miasto / Dolní Vítkovice,49.8209,18.2625
Karkonosze - Najwyższe pasmo górskie (Śnieżka),50.7361,15.7400
Czeski Krumlow - Obiekt z listy UNESCO,48.8127,14.3145
Kutná Hora - Obiekt z listy UNESCO,49.9484,15.2681
Telcz (Telč) - Obiekt z listy UNESCO,49.1842,15.4528
Karlowe Wary - Słynne uzdrowisko - Obiekt z listy UNESCO,50.2319,12.8720
Pałac i ogrody w Kromieryżu - Obiekt z listy UNESCO,49.2989,17.3931
Holašovice - Wieś historyczna - Obiekt z listy UNESCO,48.9644,14.2708
Zelená Hora - Sanktuarium św. Jana Nepomucena - UNESCO,49.5794,15.9419
Obszar Lednice-Valtice - Obiekt z listy UNESCO,48.8000,16.8000
Czeski Raj (Český ráj) - Skalne miasto i rezerwat przyrody,50.5167,15.1667
Ołomuniec - Kolumna Trójcy Przenajświętszej - UNESCO,49.5938,17.2508
Szumawa (Šumava) - Pasmo górskie i park narodowy,49.0000,13.5000
